import time: self [us] | cumulative | imported package
import time:       375 |        375 |                             multiprocessing.util
import time:        73 |         73 |                             _multiprocessing
import time:      1233 |       1233 |                             _winapi
import time:      2231 |       3909 |                           multiprocessing.connection
import time:       696 |        696 |                           multiprocessing.pool
import time:        93 |         93 |                             mmap
import time:        49 |         49 |                             _posixshmem
import time:       165 |        165 |                                 runpy
import time:       527 |        691 |                               multiprocessing.spawn
import time:       664 |       1355 |                             multiprocessing.resource_tracker
import time:      1734 |       3229 |                           multiprocessing.shared_memory
import time:      4981 |      21251 |                         multiprocessing.managers
import time:     23685 |      44936 |                       s3transfer.compat
import time:     11455 |      11455 |                       s3transfer.exceptions
import time:       390 |        390 |                       concurrent.futures.thread
import time:     24983 |     841252 |                     s3transfer
import time:     14161 |      14161 |                     s3transfer.bandwidth
import time:     15358 |      15358 |                     s3transfer.constants
import time:      1432 |       1432 |                                 calendar
import time:       154 |        154 |                                       urllib.response
import time:       996 |       1150 |                                     urllib.error
import time:      2436 |       3586 |                                   urllib.request
import time:     12002 |      12002 |                                       dateutil._common
import time:     41708 |      53710 |                                     dateutil.parser._parser
import time:     22332 |      22332 |                                     dateutil.parser.isoparser
import time:     31426 |     107467 |                                   dateutil.parser
import time:     13404 |      13404 |                                   botocore.awsrequest
import time:     24177 |      24177 |                                       urllib3.contrib
import time:      6838 |       6838 |                                         OpenSSL
import time:       597 |       7435 |                                       OpenSSL.SSL
import time:     29229 |      60839 |                                     urllib3.contrib.pyopenssl
import time:     22807 |      22807 |                                       certifi.core
import time:     19651 |      42458 |                                     certifi
import time:     14085 |     117381 |                                   botocore.httpsession
import time:      9925 |       9925 |                                   botocore.plugin
import time:     18553 |     270313 |                                 botocore.utils
import time:      9959 |     281703 |                               botocore.auth
import time:      9121 |     290823 |                             botocore.model
import time:      9474 |       9474 |                                 botocore.eventstream
import time:     10551 |      20024 |                               botocore.parsers
import time:     11021 |      11021 |                               botocore.hooks
import time:      8281 |      39326 |                             botocore.response
import time:      1454 |       1454 |                                 _wmi
import time:      1781 |       3234 |                               platform
import time:     11818 |      11818 |                               botocore.context
import time:       431 |        431 |                                 botocore.customizations
import time:       633 |       1064 |                               botocore.customizations.useragent
import time:     12936 |      29051 |                             botocore.useragent
import time:      9697 |     368895 |                           botocore.httpchecksum
import time:     16119 |     385014 |                         s3transfer.utils
import time:     16493 |     401506 |                       s3transfer.tasks
import time:     17810 |     419315 |                     s3transfer.copies
import time:     15760 |      15760 |                     s3transfer.delete
import time:     14999 |      14999 |                       s3transfer.futures
import time:     12694 |      27693 |                     s3transfer.download
import time:     13639 |      13639 |                     s3transfer.upload
import time:     19559 |    1366734 |                   s3transfer.manager
import time:     25045 |    1669181 |                 boto3.compat
import time:     21944 |      21944 |                                 jmespath.compat
import time:     16502 |      38446 |                               jmespath.exceptions
import time:     14297 |      52742 |                             jmespath.lexer
import time:     14841 |      14841 |                             jmespath.ast
import time:     12183 |      12183 |                               jmespath.functions
import time:     15835 |      28017 |                             jmespath.visitor
import time:     20617 |     116215 |                           jmespath.parser
import time:     16704 |     132919 |                         jmespath
import time:     28790 |      28790 |                                 botocore.docs.bcdoc
import time:      1577 |       1577 |                                     _markupbase
import time:      2308 |       3885 |                                   html.parser
import time:     16548 |      20432 |                                 botocore.docs.bcdoc.docstringparser
